X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y,LATITUDE,LONGITUDE
2512269.052,2376946.244,168,T20160004106,2016/02/24 00:00:00+00,09.:3.00,2,1,Collision with vehicle,A,A,39,4,Motorcyclists,M,On FRANKSTON OUT-SEAFORD RAMP OF 13m N from Int SEAFORD ROAD,12239,N,N,Non Intersection,5156,SEAFORD,ROAD,SEAFORD,ROAD,Declared Road,FRANKSTON,METROPOLITAN SOUTH EAST REGION,Metro,2512269.052,2376946.244,-38.10872974,145.139889
2494228.031,2410789.647,169,T20160004157,2016/02/24 00:00:00+00,16.:1.00,2,1,Collision with vehicle,A,A,56,4,Motorcyclists,M,On DYNON-CITYLINK OUT RAMP ON 52m N from Int DYNON ROAD,299992,N,N,Non Intersection,7135,DYNON-CITYLINK OUT,RAMP,DYNON,ROAD,Declared Road,MELBOURNE,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2494228.031,2410789.647,-37.80388198,144.934455
2608065.483,2506705.655,170,T20160004227,2016/02/25 00:00:00+00,12.:1.00,1,4,Collision with a fixed object,A,A,75,4,Motorcyclists,M,On MANSFIELD-WHITFIELD ROAD 636m SW from Int KEYSTONE ROAD,300041,N,N,Non Intersection,5498,MANSFIELD-WHITFIELD,ROAD,KEYSTONE,ROAD,Declared Road,MANSFIELD,NORTH EASTERN REGION,Country,2608065.483,2506705.655,-36.93336124,146.2132179
2517406.031,2390011.972,171,T20160004260,2016/02/25 00:00:00+00,20.:5.00,1,4,Collision with a fixed object,A,A,18,2,Drivers,F,On CHELTENHAM ROAD 45m E from Int THARLE STREET,196475,N,N,Non Intersection,2050,CHELTENHAM,ROAD,THARLE,STREET,Declared Road,DANDENONG,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2517406.031,2390011.972,-37.99093761,145.1981494
2521001.753,2605017.515,172,T20160004266,2016/02/26 00:00:00+00,00.:1.00,1,4,Collision with a fixed object,A,A,18,2,Drivers,M,On NATHALIA-WAAIA ROAD 113m N from Int SCOLYERS ROAD,300080,N,N,Non Intersection,9999,NATHALIA-WAAIA,ROAD,SCOLYERS,ROAD,Non Declared Road,MOIRA,NORTH EASTERN REGION,Country,2521001.753,2605017.515,-36.05329805,145.23309
2614594.077,2339363.687,173,T20160004352,2016/02/26 00:00:00+00,23.:0.00,1,6,Vehicle overturned (no collision),A,A,18,2,Drivers,M,On MORWELL RIVER ROAD 88m N from Int LIVINGSTON ROAD,300185,N,N,Non Intersection,9999,MORWELL RIVER,ROAD,LIVINGSTON,ROAD,Non Declared Road,LATROBE,EASTERN REGION,Country,2614594.077,2339363.687,-38.44023934,146.3124012
2499096.192,2413828.496,174,T20160004428,2016/02/27 00:00:00+00,21.:2.00,1,2,Struck Pedestrian,A,1,17,1,Pedestrians,F,At Int of ST GEORGES ROAD and MERRI PARADE,29485,I,I,Intersection,2130,ST GEORGES,ROAD,MERRI,PARADE,Declared Road,DAREBIN,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2499096.192,2413828.496,-37.77651901,144.9897403
2511865.809,2418394.791,175,T20160004434,2016/02/27 00:00:00+00,23.:1.00,2,4,Collision with a fixed object,A,A,43,4,Motorcyclists,M,On FITZSIMONS LANE 270m N from Int ROSEHILL ROAD,300136,N,N,Non Intersection,5901,FITZSIMONS,LANE,ROSEHILL,ROAD,Declared Road,BANYULE,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2511865.809,2418394.791,-37.73530037,145.134623
2494356.012,2350094.454,176,T20160004733,2016/03/02 00:00:00+00,11.:3.00,1,4,Collision with a fixed object,A,A,88,2,Drivers,F,On MORNINGTON PENINSULA FREEWAY 354m NE from Int MORNINGTON PENINSULA OUT-BAYVIEW RAMP OF,300784,N,N,Non Intersection,2600,PENINSULA LINK,FREEWAY,MORNINGTON PENINSULA OUT-BAYVIEW OF,RAMP,Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2494356.012,2350094.454,-38.35068084,144.9354409
2514199.867,2397326.399,177,T20160004844,2016/03/03 00:00:00+00,15.:1.00,1,2,Struck Pedestrian,A,1,93,1,Pedestrians,M,On MEDORO GROVE 127m W from Int WOOLWICH DRIVE,301737,N,N,Non Intersection,9999,MEDORO,GROVE,WOOLWICH,DRIVE,Non Declared Road,MONASH,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2514199.867,2397326.399,-37.92509317,145.1615094
2623220.59,2368918.646,178,T20160004864,2016/03/03 00:00:00+00,16.:1.00,2,1,Collision with vehicle,A,A,63,2,Drivers,F,On LATROBE ROAD 184m SW from Int BRINSMEAD ROAD,300377,N,N,Non Intersection,5911,LATROBE,ROAD,BRINSMEAD,ROAD,Declared Road,LATROBE,EASTERN REGION,Country,2623220.59,2368918.646,-38.17293053,146.406184
2623220.59,2368918.646,179,T20160004864,2016/03/03 00:00:00+00,16.:1.00,2,1,Collision with vehicle,A,B,62,2,Drivers,M,On LATROBE ROAD 184m SW from Int BRINSMEAD ROAD,300377,N,N,Non Intersection,5911,LATROBE,ROAD,BRINSMEAD,ROAD,Declared Road,LATROBE,EASTERN REGION,Country,2623220.59,2368918.646,-38.17293053,146.406184
2519963.115,2559339.98,180,T20160004868,2016/03/03 00:00:00+00,17.:5.00,2,1,Collision with vehicle,A,B,57,2,Drivers,M,On MURCHISON-TATURA ROAD 502m N from Int POGUE ROAD,300376,N,N,Non Intersection,5372,MURCHISON-TATURA,ROAD,POGUE,ROAD,Declared Road,SHEPPARTON,NORTH EASTERN REGION,Country,2519963.115,2559339.98,-36.46499,145.2227488
2451277.234,2426086.176,181,T20160004994,2016/03/05 00:00:00+00,07.:1.00,1,4,Collision with a fixed object,A,A,24,2,Drivers,M,On WESTERN FREEWAY(R) 269m E from Int BACCHUS MARSH-GISBORNE-WESTERN IN RAMP ON,300512,N,N,Non Intersection,2520,WESTERN,FREEWAY,BACCHUS MARSH-GISBORNE-WESTERN IN ON,RAMP,Declared Road,MOORABOOL,WESTERN REGION,Country,2451277.234,2426086.176,-37.6647997,144.4477302
2531938.517,2409757.839,182,T20160004999,2016/03/04 00:00:00+00,19.:5.00,2,1,Collision with vehicle,A,1,83,3,Passengers,M,On MOUNT DANDENONG TOURIST ROAD 318m NE from Int BROWNS ROAD,300497,N,N,Non Intersection,4991,MOUNT DANDENONG TOURIST,ROAD,BROWNS,ROAD,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2531938.517,2409757.839,-37.81264831,145.3627288
2437538.343,2350575.892,183,T20160005045,2016/03/06 00:00:00+00,07.:3.00,1,4,Collision with a fixed object,A,A,50,2,Drivers,F,On BELLS BOULEVARD 105m S from Int RIP VIEW CLOSE,300496,N,N,Non Intersection,4031,BELLS,BOULEVARDE,RIP VIEW,CLOSE,Declared Road,SURF COAST,SOUTH WESTERN REGION,Country,2437538.343,2350575.892,-38.34425035,144.2855829
2455137.966,2511339.113,184,T20160005151,2016/03/07 00:00:00+00,18.:0.00,1,4,Collision with a fixed object,A,A,69,2,Drivers,F,On LYELL ROAD 269m SE from Int GLOVER LANE,300544,N,N,Non Intersection,5175,LYELL,ROAD,GLOVER,LANE,Declared Road,BENDIGO,NORTHERN REGION,Bendigo,2455137.966,2511339.113,-36.89673996,144.4966003
2614562.318,2564962.131,185,T20160005221,2016/03/08 00:00:00+00,14.:3.00,1,4,Collision with a fixed object,A,A,77,2,Drivers,M,On HUME FREEWAY(R) 426m NE from Int WANGARATTA-HUME IN RAMP ON,301424,N,N,Non Intersection,2550,HUME,FREEWAY,WANGARATTA-HUME IN ON,RAMP,Declared Road,WANGARATTA,NORTH EASTERN REGION,Country,2614562.318,2564962.131,-36.40760318,146.2773723
2494284.141,2350035.841,186,T20160005243,2016/03/08 00:00:00+00,17.:2.00,1,4,Collision with a fixed object,A,A,20,2,Drivers,M,On MORNINGTON PENINSULA FREEWAY 262m NE from Int MORNINGTON PENINSULA OUT-BAYVIEW RAMP OF,300594,N,N,Non Intersection,2600,PENINSULA LINK,FREEWAY,MORNINGTON PENINSULA OUT-BAYVIEW OF,RAMP,Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2494284.141,2350035.841,-38.35120836,144.9346183
2516773.76,2361760.424,187,T20160005245,2016/03/08 00:00:00+00,20.:4.00,2,1,Collision with vehicle,A,A,36,4,Motorcyclists,M,On FRANKSTON-FLINDERS ROAD 612m N from Int ONEILLS ROAD,300593,N,N,Non Intersection,5757,FRANKSTON-FLINDERS,ROAD,ONEILLS,ROAD,Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2516773.76,2361760.424,-38.24546021,145.191599
2473728.881,2415055.813,188,T20160005396,2016/03/10 00:00:00+00,06.:0.00,5,1,Collision with vehicle,A,1,38,3,Passengers,F,On HOPKINS ROAD 1305m N from Int RIDING BOUNDARY ROAD,300689,N,N,Non Intersection,5042,HOPKINS,ROAD,RIDING BOUNDARY,ROAD,Declared Road,MELTON,METROPOLITAN NORTH WEST REGION,Melbourne - West,2473728.881,2415055.813,-37.76509038,144.7018244
2473728.881,2415055.813,189,T20160005396,2016/03/10 00:00:00+00,06.:0.00,5,1,Collision with vehicle,A,E,43,2,Drivers,M,On HOPKINS ROAD 1305m N from Int RIDING BOUNDARY ROAD,300689,N,N,Non Intersection,5042,HOPKINS,ROAD,RIDING BOUNDARY,ROAD,Declared Road,MELTON,METROPOLITAN NORTH WEST REGION,Melbourne - West,2473728.881,2415055.813,-37.76509038,144.7018244
2500621.838,2408290.133,190,T20160005435,2016/03/10 00:00:00+00,16.:3.00,1,2,Struck Pedestrian,A,1,81,1,Pedestrians,M,On BURNLEY STREET 23m S from Int BEISSEL STREET,300688,N,N,Non Intersection,5293,BURNLEY,STREET,BEISSEL,STREET,Declared Road,YARRA,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2500621.838,2408290.133,-37.82642039,145.0070635
2500760.497,2426335.081,191,T20160005559,2016/03/12 00:00:00+00,10.:0.00,1,4,Collision with a fixed object,A,A,44,4,Motorcyclists,M,On HUSKISSON AVENUE 99m N from Int KINGSWAY DRIVE,300785,N,N,Non Intersection,9999,HUSKISSON,AVENUE,KINGSWAY,DRIVE,Non Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2500760.497,2426335.081,-37.66383002,145.00862
2629230.868,2363820.726,192,T20160005706,2016/03/14 00:00:00+00,10.:4.00,2,1,Collision with vehicle,A,B,69,4,Motorcyclists,M,At Int of PRINCES HIGHWAY and AIRFIELD ROAD,54051,I,I,Intersection,2510,PRINCES,HIGHWAY,AIRFIELD,ROAD,Declared Road,LATROBE,EASTERN REGION,Country,2629230.868,2363820.726,-38.21802994,146.4756639
2437372.513,2507513.987,193,T20160005711,2016/03/14 00:00:00+00,11.:1.00,1,4,Collision with a fixed object,A,A,66,6,Bicyclists,M,At Int of NORTH HARCOURT ROAD and YOUNGS LANE,300808,I,I,Intersection,9999,NORTH HARCOURT,ROAD,YOUNGS,LANE,Non Declared Road,BENDIGO,NORTHERN REGION,Bendigo,2437372.513,2507513.987,-36.93019801,144.2969422
2521976.787,2378558.593,194,T20160005813,2016/03/15 00:00:00+00,16.:1.00,1,4,Collision with a fixed object,A,A,58,4,Motorcyclists,M,At Int of CENTRAL PARKWAY and FUTURES ROAD,341348,I,I,Intersection,9999,CENTRAL,PARKWAY,FUTURES,ROAD,Non Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2521976.787,2378558.593,-38.09402504,145.2505256
2629888.039,2585484.374,195,T20160006056,2016/03/18 00:00:00+00,13.:0.00,1,4,Collision with a fixed object,A,A,83,2,Drivers,M,On UNNAMED 243m N from Int HUME FREEWAY,301072,N,N,Non Intersection,9999,UNNAMED, ,HUME,FREEWAY,Non Declared Road,WANGARATTA,NORTH EASTERN REGION,Country,2629888.039,2585484.374,-36.22068894,146.4447573
2504172.327,2347525.388,196,T20160006133,2016/03/19 00:00:00+00,04.:0.00,1,4,Collision with a fixed object,A,A,23,2,Drivers,M,On STANLEYS ROAD 508m SE from Int RED HILL ROAD,301073,N,N,Non Intersection,9999,STANLEYS,ROAD,RED HILL,ROAD,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2504172.327,2347525.388,-38.37382967,145.0477402
2674839.16,2591104.59,197,T20160006314,2016/03/21 00:00:00+00,14.:4.00,2,1,Collision with vehicle,A,2,80,3,Passengers,F,At Int of KIEWA VALLEY HIGHWAY and BARANDUDA DRIVE,51297,I,I,Intersection,2790,KIEWA VALLEY,HIGHWAY,BARANDUDA,DRIVE,Declared Road,WODONGA,NORTH EASTERN REGION,Country,2674839.16,2591104.59,-36.16283578,146.9433559
2446061.128,2370125.551,198,T20160006324,2016/03/21 00:00:00+00,20.:5.00,1,4,Collision with a fixed object,A,A,26,4,Motorcyclists,M,At Int of BELLARINE HIGHWAY -ORMOND ROAD(R) and BOUNDARY ROAD,57655,I,I,Intersection,2730,BELLARINE HIGHWAY -ORMOND,ROAD,BOUNDARY,ROAD,Declared Road,GEELONG,SOUTH WESTERN REGION,Country,2446061.128,2370125.551,-38.16868555,144.3845065
2533172.903,2409997.273,199,T20160006528,2016/03/24 00:00:00+00,08.:3.00,2,1,Collision with vehicle,A,1,82,3,Passengers,M,On MOUNT DANDENONG TOURIST ROAD 548m N from Int INVERNESS ROAD,301616,N,N,Non Intersection,4991,MOUNT DANDENONG TOURIST,ROAD,INVERNESS,ROAD,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2533172.903,2409997.273,-37.81044782,145.3767369
2526970.576,2386280.16,200,T20160006849,2016/03/29 00:00:00+00,03.:3.00,1,4,Collision with a fixed object,A,A,20,2,Drivers,M,On NARRE WARREN NORTH ROAD 94m S from Int LAUDERDALE ROAD,301694,N,N,Non Intersection,5940,NARRE WARREN NORTH,ROAD,LAUDERDALE,ROAD,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2526970.576,2386280.16,-38.02432968,145.3071682
2527204.454,2400802.049,201,T20160007709,2016/04/08 00:00:00+00,12.:2.00,2,1,Collision with vehicle,A,A,29,4,Motorcyclists,M,At Int of BURWOOD HIGHWAY(R) and DAWSON STREET,41977,I,I,Intersection,2750,BURWOOD,HIGHWAY,DAWSON,STREET,Declared Road,KNOX,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2527204.454,2400802.049,-37.89348907,145.3092945
2507383.761,2408517.205,202,T20160008015,2016/04/12 00:00:00+00,17.:0.00,1,1,Collision with vehicle,A,B,28,4,Motorcyclists,M,On CANTERBURY ROAD 46m W from Int WILLANDRA AVENUE,302128,N,N,Non Intersection,5802,CANTERBURY,ROAD,WILLANDRA,AVENUE,Declared Road,BOROONDARA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2507383.761,2408517.205,-37.82434537,145.0838709
2384175.463,2305703.406,203,T20160008067,2016/04/13 00:00:00+00,08.:5.00,1,4,Collision with a fixed object,A,1,48,1,Pedestrians,M,On OVERVIEW CRESCENT 9m S from Int EAGLES NEST COURT,302176,N,N,Non Intersection,9999,OVERVIEW,CRESCENT,EAGLES NEST,COURT,Non Declared Road,COLAC OTWAY,SOUTH WESTERN REGION,Country,2384175.463,2305703.406,-38.74320953,143.6681158
2498799.846,2423546.008,204,T20160008128,2016/04/14 00:00:00+00,02.:4.00,1,4,Collision with a fixed object,A,A,28,2,Drivers,F,On HUME-METROPOLITAN RING IN RAMP(R) 38m NE from Int METROPOLITAN RING ROAD,230068,N,N,Non Intersection,2550,HUME-METROPOLITAN RING IN,RAMP,METROPOLITAN RING,ROAD,Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2498799.846,2423546.008,-37.6889606,144.9863921
2263135.918,2635702.042,205,T20160008280,2016/04/15 00:00:00+00,20.:1.00,1,4,Collision with a fixed object,A,A,23,2,Drivers,M,On HENTY HIGHWAY 179m NW from Int TWO MILE ROAD,302299,N,N,Non Intersection,2620,HENTY,HIGHWAY,TWO MILE,ROAD,Declared Road,YARRIAMBIACK,WESTERN REGION,Country,2263135.918,2635702.042,-35.74763207,142.3811671
2381345.477,2446613.892,206,T20160008298,2016/04/16 00:00:00+00,00.:1.00,2,1,Collision with vehicle,A,1,74,3,Passengers,F,On WESTERN HIGHWAY 1036m from 7843 5087B 2520F RAMP (CR),60599,N,N,Non Intersection,2520,WESTERN,HIGHWAY,WESTERN,HIGHWAY,Declared Road,BALLARAT,WESTERN REGION,Ballarat,2381345.477,2446613.892,-37.47356667,143.6584106
2381345.477,2446613.892,207,T20160008298,2016/04/16 00:00:00+00,00.:1.00,2,1,Collision with vehicle,A,2,82,3,Passengers,M,On WESTERN HIGHWAY 1036m from 7843 5087B 2520F RAMP (CR),60599,N,N,Non Intersection,2520,WESTERN,HIGHWAY,WESTERN,HIGHWAY,Declared Road,BALLARAT,WESTERN REGION,Ballarat,2381345.477,2446613.892,-37.47356667,143.6584106
2381345.477,2446613.892,208,T20160008298,2016/04/16 00:00:00+00,00.:1.00,2,1,Collision with vehicle,A,B,81,2,Drivers,M,On WESTERN HIGHWAY 1036m from 7843 5087B 2520F RAMP (CR),60599,N,N,Non Intersection,2520,WESTERN,HIGHWAY,WESTERN,HIGHWAY,Declared Road,BALLARAT,WESTERN REGION,Ballarat,2381345.477,2446613.892,-37.47356667,143.6584106
2493684.676,2412548.478,209,T20160008636,2016/04/20 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,3,58,1,Pedestrians,M,On RACECOURSE ROAD 48m W from Int BELLAIR STREET,302416,N,N,Non Intersection,2500,RACECOURSE,ROAD,BELLAIR,STREET,Declared Road,MELBOURNE,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2493684.676,2412548.478,-37.78803119,144.9282998
2491690.137,2412980.102,210,T20160008647,2016/04/20 00:00:00+00,15.:2.00,2,1,Collision with vehicle,A,B,26,4,Motorcyclists,M,At Int of FISHER PARADE and LANGS ROAD,1317,I,I,Intersection,5599,FISHER,PARADE,LANGS,ROAD,Declared Road,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2491690.137,2412980.102,-37.78412653,144.9056599
2389012.428,2440999.194,211,T20160008879,2016/04/23 00:00:00+00,14.:3.00,1,4,Collision with a fixed object,A,1,4,3,Passengers,F,On REMEMBRANCE DRIVE 269m SE from Int WHITES ROAD,302537,N,N,Non Intersection,5087,REMEMBRANCE,DRIVE,WHITES,ROAD,Declared Road,BALLARAT,WESTERN REGION,Ballarat,2389012.428,2440999.194,-37.52509895,143.7442507
2529218.043,2437927.169,212,T20160008952,2016/04/24 00:00:00+00,13.:3.00,3,1,Collision with vehicle,A,A,21,4,Motorcyclists,M,On HEIDELBERG-KINGLAKE ROAD 884m SW from Int OLD KINGLAKE ROAD,302536,N,N,Non Intersection,5811,HEIDELBERG-KINGLAKE,ROAD,OLD KINGLAKE,ROAD,Declared Road,NILLUMBIK,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2529218.043,2437927.169,-37.55891965,145.330721
2500187.088,2423364.134,213,T20160009058,2016/04/26 00:00:00+00,06.:5.00,2,1,Collision with vehicle,A,A,53,2,Drivers,M,On EDGARS ROAD 104m S from Int WOLSELEY PLACE,302680,N,N,Non Intersection,5000,EDGARS,ROAD,WOLSELEY,PLACE,Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2500187.088,2423364.134,-37.69060013,145.0021213
2435003.612,2433325.374,214,T20160009292,2016/04/29 00:00:00+00,06.:5.00,2,1,Collision with vehicle,A,A,61,2,Drivers,M,On WESTERN FREEWAY(R) 117m W from Int OLD MELBOURNE-WESTERN IN RAMP ON,304700,N,N,Non Intersection,2520,WESTERN,FREEWAY,OLD MELBOURNE-WESTERN IN ON,RAMP,Declared Road,MOORABOOL,WESTERN REGION,Ballarat,2435003.612,2433325.374,-37.59857882,144.2639105
2490192.279,2467922.768,215,T20160009375,2016/04/29 00:00:00+00,16.:3.00,2,1,Collision with vehicle,A,A,35,2,Drivers,F,On KILMORE-LANCEFIELD ROAD 40m W from Int OLD KILMORE-LANCEFIELD ROAD,303094,N,N,Non Intersection,5393,KILMORE-LANCEFIELD,ROAD,OLD KILMORE-LANCEFIELD,ROAD,Declared Road,MITCHELL,NORTHERN REGION,Country,2490192.279,2467922.768,-37.28902653,144.8893799
2525528.294,2377101.556,216,T20160009390,2016/04/30 00:00:00+00,00.:5.00,2,1,Collision with vehicle,A,A,33,2,Drivers,F,On CAMERON STREET 53m S from Int CLARENDON STREET,302848,N,N,Non Intersection,5903,CAMERON,STREET,CLARENDON,STREET,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2525528.294,2377101.556,-38.10706021,145.2910617
2526333.649,2540770.678,217,T20160009629,2016/05/02 00:00:00+00,22.:1.00,3,1,Collision with vehicle,A,A,21,2,Drivers,M,On GOULBURN VALLEY FREEWAY(R) 591m SW from Int PRETTY JOHN ROAD,303031,N,N,Non Intersection,2640,GOULBURN VALLEY,FREEWAY,PRETTY JOHN,ROAD,Declared Road,SHEPPARTON,NORTH EASTERN REGION,Country,2526333.649,2540770.678,-36.63219098,145.2944718
2499888.416,2395883.704,218,T20160009682,2016/05/03 00:00:00+00,19.:4.00,2,1,Collision with vehicle,A,A,40,2,Drivers,M,On BEACH ROAD 112m NW from Int BAY TRAIL,302945,N,N,Non Intersection,5840,BEACH,ROAD,BAY,TRAIL,Declared Road,BAYSIDE,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner South,2499888.416,2395883.704,-37.93819976,144.9987306
2399496.071,2439269.89,219,T20160009720,2016/05/04 00:00:00+00,11.:4.00,2,1,Collision with vehicle,A,A,87,2,Drivers,F,On WALKER STREET 99m E from Int LYDIARD STREET N,303642,N,N,Non Intersection,9999,WALKER,STREET,LYDIARD N,STREET,Non Declared Road,BALLARAT,WESTERN REGION,Ballarat,2399496.071,2439269.89,-37.54186779,143.8626204
2512471.089,2421255.201,220,T20160009765,2016/05/04 00:00:00+00,18.:3.00,0,2,Struck Pedestrian,A,1,61,1,Pedestrians,F,At Int of SILVER STREET and VINE STREET,224048,I,I,Intersection,9999,SILVER,STREET,VINE,STREET,Non Declared Road,NILLUMBIK,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2512471.089,2421255.201,-37.70951911,145.1414419
2490666.965,2404730.277,221,T20160009956,2016/05/06 00:00:00+00,18.:0.00,1,2,Struck Pedestrian,A,1,59,1,Pedestrians,M,At Int of MELBOURNE ROAD and FERGUSON STREET,40006,I,I,Intersection,5822,MELBOURNE,ROAD,FERGUSON,STREET,Declared Road,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,Melbourne - West,2490666.965,2404730.277,-37.85844783,144.8939397
2482493.585,2411119.631,222,T20160009999,2016/05/07 00:00:00+00,10.:5.00,2,1,Collision with vehicle,A,1,31,3,Passengers,M,On WESTERN RING ROAD(R) 1112m SE from Int FITZGERALD ROAD,306973,N,N,Non Intersection,2900,WESTERN RING,ROAD,FITZGERALD,ROAD,Declared Road,BRIMBANK,METROPOLITAN NORTH WEST REGION,Melbourne - West,2482493.585,2411119.631,-37.80076201,144.8012096
2515059.159,2431069.484,223,T20160010029,2016/05/07 00:00:00+00,16.:1.00,1,4,Collision with a fixed object,A,A,47,4,Motorcyclists,M,On BANNONS LANE N 245m S from Int BOYDS ROAD,303400,N,N,Non Intersection,9999,BANNONS,LANE,BOYDS,ROAD,Non Declared Road,NILLUMBIK,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2515059.159,2431069.484,-37.62104872,145.1705952
2504301.296,2473221.96,224,T20160010149,2016/05/09 00:00:00+00,08.:1.00,1,4,Collision with a fixed object,A,A,19,2,Drivers,F,At Int of SUNDAY CREEK ROAD and MCDONALDS ROAD,303184,I,I,Intersection,9999,SUNDAY CREEK,ROAD,MCDONALDS,ROAD,Non Declared Road,MITCHELL,NORTHERN REGION,Country,2504301.296,2473221.96,-37.24131332,145.0484834
2516933.332,2409373.185,225,T20160010258,2016/05/10 00:00:00+00,12.:0.00,1,2,Struck Pedestrian,A,1,43,1,Pedestrians,F,At Int of WHITEHORSE ROAD and STATION STREET,65993,I,I,Intersection,2720,WHITEHORSE,ROAD,STATION,STREET,Declared Road,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2516933.332,2409373.185,-37.81650817,145.192323
2542674.8,2375686.012,226,T20160010500,2016/05/13 00:00:00+00,07.:2.00,2,1,Collision with vehicle,A,A,27,2,Drivers,M,On KOO WEE RUP ROAD 226m NW from Int WATSON ROAD,303354,N,N,Non Intersection,5770,KOO WEE RUP,ROAD,WATSON,ROAD,Declared Road,CARDINIA,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2542674.8,2375686.012,-38.11918151,145.486638
2497785.486,2416031.228,227,T20160010730,2016/05/16 00:00:00+00,06.:5.00,1,2,Struck Pedestrian,A,1,63,1,Pedestrians,M,At Int of HOLMES STREET -NICHOLSON STREET and MORELAND ROAD,36017,I,I,Intersection,5736,HOLMES STREET -NICHOLSON,STREET,MORELAND,ROAD,Declared Road,MORELAND,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2497785.486,2416031.228,-37.75666972,144.9748682
2521203.565,2369983.659,228,T20160010734,2016/05/16 00:00:00+00,09.:1.00,2,1,Collision with vehicle,A,A,61,2,Drivers,F,On NORTH ROAD 82m E from Int PEARCEDALE ROAD,303448,N,N,Non Intersection,9999,NORTH,ROAD,PEARCEDALE,ROAD,Non Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2521203.565,2369983.659,-38.17129182,145.2419597
2518126.593,2350909.49,229,T20160010764,2016/05/16 00:00:00+00,14.:0.00,1,8,No collision and no object struck,A,A,54,4,Motorcyclists,M,On WOOLLEYS ROAD 147m W from Int THE ESPLANADE,303497,N,N,Non Intersection,9999,WOOLLEYS,ROAD,THE ESPLANADE, ,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2518126.593,2350909.49,-38.34317874,145.2073216
2482967.86,2407892.721,230,T20160010832,2016/05/17 00:00:00+00,08.:4.00,2,1,Collision with vehicle,A,B,38,2,Drivers,M,On DOHERTYS ROAD 164m W from Int CHERRY LANE,303496,N,N,Non Intersection,5449,DOHERTYS,ROAD,CHERRY,LANE,Declared Road,WYNDHAM,METROPOLITAN NORTH WEST REGION,Melbourne - West,2482967.86,2407892.721,-37.82984534,144.8065206
2521071.302,2400314.906,231,T20160010881,2016/05/18 00:00:00+00,06.:4.00,2,1,Collision with vehicle,A,B,36,4,Motorcyclists,M,On FERNTREE GULLY ROAD 34m E from Int MILLENNIUM COURT,304768,N,N,Non Intersection,5799,FERNTREE GULLY,ROAD,MILLENNIUM,COURT,Declared Road,KNOX,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2521071.302,2400314.906,-37.89803737,145.2395793
